69,77,56,46,85
88,95,65,80,68
88,80,95,75,78
87,41,95,82,84
87,74,90,85,77
100,95,95,80,56
100,100,100,85,41
88,100,100,100,76
75,100,100,85,95
100,100,100,100,45
87,100,100,80,46
62,35,74,67,81
41,84,100,85,100
76,60,70,85,100
87,71,80,80,85
100,85,100,85,100
87,95,100,100,98
100,100,75,81,44
87,100,78,85,95
100,100,76,70,100
51,89,74,80,90
90,84,72,85,57
76,100,70,70,74
100,95,68,85,47
76,87,66,90,59
100,79,80,100,94
87,71,98,85,100
75,95,98,75,80
88,100,100,95,65
100,100,100,85,68
100,100,100,95,71
87,95,98,80,74
100,100,100,77,77
100,95,100,75,80
100,100,98,80,83
87,100,100,100,86
